Filo;Hi!;;;;;;;
Filo;I am Filomena, she who operating here, call me Filo!;;;;;;;
Player;……;;;;;;雪人？;告诉我该怎么做
Filo;Why am I looks like a snowman?;Filo;You have a good passion! That is good!;;;;;
Filo;That is simple, cute!;Filo;Anyway, let's talk about the work.;;;;;
Filo;......it is joke，in this world what you saw is just a image.;Filo;I want you do eliminate all enemies via Donna.;;;;;
Filo;Be care, what you all will see.;Filo;You don't care about who is she.;;;;;
Filo;Anyway, let's talk about the work.;Filo;Then, let's begin the work!;;;;;
Filo;I want you do eliminate all enemies via Donna.;Filo;Let's go！;;;;;
Filo;You don't care about who she is.;;end;;;;;
Filo;Then, let's begin the work!;;;;;;;
Filo;Let's go！;;;;;;;
;end;;;;;;;
