Filo,喝！,,,,,,,,,……
Donna,！？,,,,,,,,,あら、こんにちは！
Filo,早上好！Donna！,,,,,,雪だるま？,なにをしたらいいか教えてくれ,,私はここの管理をしているオペレーター、フィロメナよ。
Donna,......我的头痛...,,,,,,,,,でも、呼びづらいからフィロって呼んで頂戴
Filo,好吧，也许我不觉得睡着了，是吗？,,,,,,,,,それじゃ、これからあなたに何をしてもらうかだけど
Donna,不，也许你醒来......,,,,,,,,,やる事は簡単！とにかくこのゲームをプレイしてプレイしてプレイしまくってほしいの！
Filo,那是对的！ 只要我想不起我，我就在睡觉！ 当然！,,,,,,,,,何回でもクリアしてもらって構わないわ。とにかく、あなたがこのゲームを進めてくれることが、私達のためになるの。素敵でしょ？
Donna,好吧，现在......比那更好，谁是你那些奇怪的毛绒东西？,,,,,,,,,名付けて「ゲーム中毒者量産計画」！なんちゃって！
Filo,我是Filomena！ 菲洛很好。 所以我的奇怪的东西是我的宠物！,,,,,,,,,……
游戏者,......,,,,有趣的毛绒动物！？,,宠物！？,,,………………
Filo,那是对的！ 好吧，你现在看不到自己，所以现在你什么也做不了，但我觉得这并不奇怪！,Filo,嘿嘿！小聲一點！如果Dana以各种方式搜索，那不是我们的计划，所以现在我会保留那种东西！,,,,,,,あら、そういえば選択肢の機能追加してなかったわね。
Filo,......也许,Donna,这是一只宠物。,,,,,,,気が向いたら追加しておくわ！
游戏者,也许吧！？,游戏者,它无法帮助......,,,,,,,それじゃ、一方的な話もつまらないし、早速この子を起こしてみましょうか！
Filo,好吧，除了我们的头衔，我们的目标是Donna，这是为了帮助你,Filo,好吧，除了我们的头衔，我们的目标是Donna，这是为了帮助你,,,,,,,えいっ！
Donna,你能救我吗？,Donna,你能救我吗？,,,,,,,
Filo,原来如此！ 你现在几乎没有记忆，是吗？,Filo,原来如此！ 你现在几乎没有记忆，是吗？,,,,,,,……ん…
Donna,那是......？ 但它可能赢了,Donna,那是......？ 但它可能赢了,,,,,,,おはよー！ダナ！よく眠れた？
Filo,我们希望您重新获得回忆，只需与我们在一起，您就可以回归记忆。 怎么样？ 这不是一个好故事吗？,Filo,我们希望您重新获得回忆，只需与我们在一起，您就可以回归记忆。 怎么样？ 这不是一个好故事吗？,,,,,,,……
Donna,你没有异议？,Donna,你没有异议？,,,,,,,あれ、もしかして寝起きの機嫌が悪いタイプ？さっきの子のがまだ自然だったわよー
Filo,我们对你的朋友既没有你也没有恶意。 我希望你相信,Filo,我们对你的朋友既没有你也没有恶意。 我希望你相信,,,,,,,……雪だるまが……喋ってる……
Donna,朋友...... 我明白了 让我们一起和你一起行动吧,Donna,朋友...... 我明白了 让我们一起和你一起行动吧,,,,,,,なーに！そんなこと気にしてたの！？雪だるまだって喋るのよ。当たり前じゃない！
,end,,end,,,,,,,そうなの……
,,,,,,,,,,そうなの、そうなの！
,,,,,,,,,,……それじゃあなた、誰？私の名前も知ってたみたいだけど。
,,,,,,,,,,私の名前はフィロ！フィロメナ・ダナ・レイモンドっていうの！
,,,,,,,,,,ダナ…同じ名前ね
,,,,,,,,,,でしょ！私のはミドルネームだけど。ちょっと親近感沸いた？
,,,,,,,,,,余計に怪しいかも
,,,,,,,,,,（うぅ…なんだかこの子変なところで毒あるわね……）
