フィロメナ,えーい！,,,,,,,,,……
ダナ,！？,,,,,,,,,あら、こんにちは！
フィロメナ,おはよ！ダナ！,,,,,,雪だるま？,なにをしたらいいか教えてくれ,,私はここの管理をしているオペレーター、フィロメナよ。
ダナ,……頭が痛い…,,,,,,,,,でも、呼びづらいからフィロって呼んで頂戴
フィロメナ,あれれ、寝起きが悪い感じかな？,,,,,,,,,それじゃ、これからあなたに何をしてもらうかだけど
ダナ,いえ、多分あなたの起こし方が……,,,,,,,,,やる事は簡単！とにかくこのゲームをプレイしてプレイしてプレイしまくってほしいの！
フィロメナ,そうね！私達だと考えられないくらい長い間眠ってたんだもの！当然だわ！,,,,,,,,,何回でもクリアしてもらって構わないわ。とにかく、あなたがこのゲームを進めてくれることが、私達のためになるの。素敵でしょ？
ダナ,もういいわ……それより、あなたとそこにいる変なぬいぐるみは何者なの？,,,,,,,,,名付けて「ゲーム中毒者量産計画」！なんちゃって！
フィロメナ,私はフィロメナ！フィロで大丈夫よ。それで、そこにいる変なぬいぐるみは私のペット！,,,,,,,,,……
プレイヤー,……,,,,変なぬいぐるみ！？,,ペット！？,,,………………
フィロメナ,そうよ！まああなたは今の自分の姿が見れないから、今はどうしようもないでしょうけど、私はそこまで変じゃないと思うわよ！,フィロメナ,こら！シー！ダナに色々詮索されるのも駄目だから今はそういうことにしておくの！,,,,,,,あら、そういえば選択肢の機能追加してなかったわね。
フィロメナ,……多分,ダナ,ペットなのね,,,,,,,気が向いたら追加しておくわ！
プレイヤー,多分！？,プレイヤー,どうしようもない……,,,,,,,それじゃ、一方的な話もつまらないし、早速この子を起こしてみましょうか！
フィロメナ,まあ私たちの肩書きはさておいて、私達の目的はあなたを助けることなのよ,フィロメナ,まあ私たちの肩書きはさておいて、私達の目的はあなたを助けることなのよ,,,,,,,えいっ！
ダナ,助ける？,ダナ,助ける？,,,,,,,
フィロメナ,そう！あなた、今記憶がほとんどないでしょ？,フィロメナ,そう！あなた、今記憶がほとんどないでしょ？,,,,,,,……ん…
ダナ,そうなの…かな？でも当たってるかもしれない,ダナ,そうなの…かな？でも当たってるかもしれない,,,,,,,おはよー！ダナ！よく眠れた？
フィロメナ,私達はあなたに記憶を取り戻してほしくて、あなたは私達といるだけで記憶を取り戻せる。どう？いい話じゃない？,フィロメナ,私達はあなたに記憶を取り戻してほしくて、あなたは私達といるだけで記憶を取り戻せる。どう？いい話じゃない？,,,,,,,……
ダナ,他意はないのね？,ダナ,他意はないのね？,,,,,,,あれ、もしかして寝起きの機嫌が悪いタイプ？さっきの子のがまだ自然だったわよー
フィロメナ,私達はあなたにも、あなたの友達にも悪意は持っていない。信じてほしい,フィロメナ,私達はあなたにも、あなたの友達にも悪意は持っていない。信じてほしい,,,,,,,……雪だるまが……喋ってる……
ダナ,友達……。分かったわ。ひとまずあなた達と行動を共にしましょう,ダナ,友達……。分かったわ。ひとまずあなた達と行動を共にしましょう,,,,,,,なーに！そんなこと気にしてたの！？雪だるまだって喋るのよ。当たり前じゃない！
,end,,end,,,,,,,そうなの……
,,,,,,,,,,そうなの、そうなの！
,,,,,,,,,,……それじゃあなた、誰？私の名前も知ってたみたいだけど。
,,,,,,,,,,私の名前はフィロ！フィロメナ・ダナ・レイモンドっていうの！
,,,,,,,,,,ダナ…同じ名前ね
,,,,,,,,,,でしょ！私のはミドルネームだけど。ちょっと親近感沸いた？
,,,,,,,,,,余計に怪しいかも
,,,,,,,,,,（うぅ…なんだかこの子変なところで毒あるわね……）
