フィロメナ,……
フィロメナ,あら、こんにちは！
フィロメナ,私はここの管理をしているオペレーター、フィロメナよ。
フィロメナ,でも、呼びづらいからフィロって呼んで頂戴
フィロメナ,それじゃ、これからあなたに何をしてもらうかだけど
,やる事は簡単！とにかくこのゲームをプレイしてプレイしてプレイしまくってほしいの！
,何回でもクリアしてもらって構わないわ。とにかく、あなたがこのゲームを進めてくれることが、私達のためになるの。素敵でしょ？
,名付けて「ゲーム中毒者量産計画」！なんちゃって！
,……
,………………
,あら、そういえば選択肢の機能追加してなかったわね。
,気が向いたら追加しておくわ！
,それじゃ、一方的な話もつまらないし、早速この子を起こしてみましょうか！
,えいっ！
,
,……ん…
,おはよー！ダナ！よく眠れた？
,……
,あれ、もしかして寝起きの機嫌が悪いタイプ？さっきの子のがまだ自然だったわよー
,……雪だるまが……喋ってる……
,なーに！そんなこと気にしてたの！？雪だるまだって喋るのよ。当たり前じゃない！
,そうなの……
,そうなの、そうなの！
,……それじゃあなた、誰？私の名前も知ってたみたいだけど。
,私の名前はフィロ！フィロメナ・ダナ・レイモンドっていうの！
,ダナ…同じ名前ね
,でしょ！私のはミドルネームだけど。ちょっと親近感沸いた？
,余計に怪しいかも
,（うぅ…なんだかこの子変なところで毒あるわね……）
