ダナ,……あれ？
ダナ,ここは……？なんだかちょっと、見覚えのある景色
ダナ,この建物…えっと……確か…
？？？,あわわわわ！危ない！
ダナ,え…！？
ダナ,……っ！！
ダナ,（っいったあああ！何かすごく早いものが当たってきた……）
？？？,お姉ちゃん！大丈夫…！？ごめんなさい！タウが前見てなかったから…！
ダナ,（タウ？あれ？女の子？）
ダナ,大丈夫。少し転んだだけだから。
女性の声,タウー！そっちで凄い音がしたけど大丈夫かーい？
タウフェベス,あ！おばちゃん！ちょっと大変なことになっちゃった！
タウフェベス,あ！でも、大丈夫！…みたい？
女性の声,そうかい？何かあったらすぐ言うんだよ！
タウフェベス,はーい！
タウフェベス,お姉ちゃんごめんなさい…本当に大丈夫？怪我してたらおばちゃんに診てもらえるけど…
ダナ,ええ、本当に大丈夫よ。ありがとう
タウフェベス,よかった！　それでお姉ちゃん、あんまり見かけないような人だけどどこからきたの？
ダナ,えっと……
タウフェベス,あ！分かった！ティフェレトからでしょ！ 酒屋のお姉さんがティフェレトには綺麗な人がいっぱいいるって言ってたもん！
ダナ,え！？えっと……
タウフェベス,うわー！でも本当に綺麗だなー！タウ、村からあまり遠くに行ったことがないから分かんなかったけど！
タウフェベス,じゃあさ！じゃあさ！お姉ちゃんはカンコーっていうのでここにきたの！？
ダナ,う、うーん……そうなの…かな…？
タウフェベス,わー！やっぱりやっぱり！じゃあお姉ちゃん村はタウが案内してあげるよ！タウはこう見えても村マスターなんだから！
ダナ,あはは…嬉しいわ。ありがとう
タウフェベス,お姉ちゃん名前はなんていうの？
ダナ,私は……
タウフェベス,？
ダナ,…！ダナ！ダナよ、ダナっていうの
タウフェベス,ダナ？可愛い名前！これからよろしくね！それじゃ、タウもおつかいがあるから、最初にお米やさんから見にいこ！
ダナ,分かった
タウフェベス,あ！でもやっぱり、その前にまずは川のムギからね！
ダナ,ムギ？
タウフェベス,そう！いつも川の近くにいる野良犬なの！小麦色だからムギ！
ダナ,そう。楽しみ！じゃあその子から挨拶に行かせてもらうことにするわ
タウフェベス,よーし！じゃあレッツゴー！
ダナ,（記憶がなくてまだ少し不安だけど少し歩けばまた何か分かるかも。タウも悪い子じゃなさそうだし、ついて行ってみようかな）
